Name,Weapon,Class,Ability Tree,AP,Purpose,Type,Hit Type,Target Type,Attack Type,Applied Vulnerability,Applied Status,Anima Deviation,Cast Time,Cooldown,Augments,Affects,Indirect Affects,Description
Charge-Density,Quantum,Auxiliary,Quantum,50,Heal,Active,Multi Hit,AoE,N/A,None,None,No,1000,30000,N/A,,,"Charge: Gives a friend a heal over time effect that heals for 35 every second for 6 seconds. Become ""Destiny"" after a successful activation. Density: A heal that affects up to 6 friends in a 5 metre radius around the target, healing for 126. If the defensive target has your ""Charge"" heal over time effect, you also leave a 5 metre radius persistent ground area around the target for 5 seconds. Every second up to 6 friends in the area area healed for 6. Becomes ""Charge"" after a successful activation or 5 seconds have passed."
Probability Rules,Quantum,Auxiliary,Quantum,50,Cooldown,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Quantum,,"Whenever you activate a Quantum ability, there is a 20% chance that its recharge does not trigger."
Polestar-Oblivion,Quantum,Auxiliary,Quantum,50,"Damage, Impair",Active,Single Hit,Cone,Normal,None,None,No,500,45000,N/A,,,"Polestar: An attack that affects up to 2 enemies in a 1 metre radius around the targeted point, dealing 106 magical damage. Affected targets also receive the ""Polestar"" effect for 5 seconds. Becomes ""Oblivion"" after a successful hit. Oblivion: A cone attack that affects up to 6 enemies in a 7 metre long 120 degree cone in front of you, dealing 145 magical damage. Affected targets that have the ""Polestar"" effect become Impaired and unable to act for 2 seconds. Becomes ""Polestar"" after a successful activation or 5 seconds have passed."
Dragon's Breath,Flamethrower,Auxiliary,Flamethrower,50,Damage,Active,Multi Hit,Cone,Channeled,None,Incendiary Expertise,No,2000,15000,N/A,,,A channelled cone attack that deals 40 physical damage per hit. Channelled: Every 0.4 seconds for 2 seconds. Cone: Affects up to 6 enemies in a 15 metre long 60 degree cone in front of you.
Searing Magnesium,Flamethrower,Auxiliary,Flamethrower,50,Damage,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Flamethrower,,Increases direct damage dealt by Flamethrower abilities by 15%.
Scorched Earth,Flamethrower,Auxiliary,Flamethrower,50,Damage,Active,Multi Hit,GTAoE,Normal,None,Incendiary Expertise,No,500,25000,N/A,,,Creates a wall of fire which extends 2 metres forward and 4 metres to either side of the targeted location and lasts 6 seconds. Every 0.3 seconds it will hit up to 6 enemies in the area dealing 19 physical damage.
Assiduous Burn,Flamethrower,Auxiliary,Flamethrower,50,"Buff, Cooldown",Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Incendiary Expertise,,"Increases the duration of ""Incendiary Expertise"" to 10 seconds. Also, whenever ""Incendiary Expertise"" deals damage, all Flamethrower ability recharge times are reduced by 5% of their remaining recharge time."
Smells Like Victory-Fire it Up,Flamethrower,Auxiliary,Flamethrower,50,"Damage, Debuff",Active,Multi Hit,TAoE,Normal,None,Incendiary Expertise,No,500,30000,N/A,,,"Smells Like Victory: An attack that affects up to 6 enemies in a 5 metre radius around the targeted point, dealing 15 physical damage. Affected targets also receive the ""Smells Like Victory"" effect for 3 seconds. increasing damage taken by 2%. Becomes ""Fire It Up"" after a successful hit. Fire It Up: An attack that deals 113 physical damage. If the affected target has the ""Smells Like Victory"" effect, the attack instead deals 226 physical damage. Becomes ""Smells Like Victory"" after a successful activation or 5 seconds have passed."
Viscous Accelerant,Flamethrower,Auxiliary,Flamethrower,50,Debuff,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Flamethrower,,"Whenever you hit with a Flamethrower ability, the target has its movement speed reduced by 20% for 6 seconds."
Cremate,Flamethrower,Auxiliary,Flamethrower,50,"Damage, Root",Active,Multi Hit,Single Target,N/A,None,Incendiary Expertise,No,1000,60000,N/A,,,A single target attack that deals 7 physical damage and 21 physical damage every second for 10 seconds. The target also becomes rooted to the ground for 2 seconds.
Pop Shot,Rocket Launcher,Auxiliary,Rocket Launcher,50,Damage,Active,Single Hit,TAoE,Normal,None,None,No,1000,15000,N/A,,,A TAoE attack that deals 152 physical damage. TAoE: Affects up to 6 enemies in a 5 metre radius around your target.
Rangefinder,Rocket Launcher,Auxiliary,Rocket Launcher,50,Modifier,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Rocket Launcher,,Increases the attack range of all Rocket Launcher abilities by 5 metres.
Clusterstruck,Rocket Launcher,Auxiliary,Rocket Launcher,50,Damage,Active,Single Hit,GTAoE,Normal,None,None,No,1500,30000,N/A,,,A GTAoE attack that deals 175 physical damage. GTAoE: Affects up to 6 enemies in a 5 metre redius around the targeted point.
Rocket Science,Rocket Launcher,Auxiliary,Rocket Launcher,50,Cooldown,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Rocket Launcher,,Reduces the recharge time of Rocket Launcher abilities by 50%.
Death From Above,Rocket Launcher,Auxiliary,Rocket Launcher,50,"Damage, Dash",Active,Single Hit,PBAoE,Normal,None,None,No,1000,40000,N/A,,,"You rocket jump 15 metres forward hitting up to 6 enemies in a 5 metre radius where you take off and where you land, dealing 100 physical damage. Deals 9% of your maximum health as damage to you when activated."
Warhead,Rocket Launcher,Auxiliary,Rocket Launcher,50,Modifier,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Rocket Launcher,,Increases direct damage dealt by Rocket Launcher abilities by 15%.
Big Red Button,Rocket Launcher,Auxiliary,Rocket Launcher,50,Damage,Active,Single Hit,TAoE,Normal,None,None,No,2000,90000,N/A,,,A TAoE attack that deals 198 physical damage. TAoE: Affects up to 6 enemies in a 5 metre radius around your target.
